"debamlen";"patrickhealy"
"paulkrugman";"maggiehaberman"
"debamlen";"michaelde la merced"
"debamlen";"maggiehaberman"
"michaelde la merced";"mikeisaac"
"debamlen";"patrickhealy"
"brooksbarnes";"mikeisaac"
"debamlen";"andreakannapell"
"debamlen";"michaelde la merced"
"michaelde la merced";"michaelcooper"
"debamlen";"michaelcooper"
"paulkrugman";"michaelcooper"
"michaelcooper";"alanrappeport"
"andrewrevkin";"paulkrugman"
"debamlen";"patrickhealy"
"michaelde la merced";"michaelde la merced"
"debamlen";"patrickhealy"
"mikeisaac";"michaelcooper"
"patrickhealy";"paulkrugman"
"alanrappeport";"michaelcooper"
"debamlen";"malinagilchrist"
"paulkrugman";"andreakannapell"
"debamlen";"debamlen"
"debamlen";"michaelde la merced"
"mikeisaac";"mikeisaac"
"andrewrevkin";"andrewrevkin"
"alanrappeport";"patrickhealy"
"andrewrevkin";"alanrappeport"
"debamlen";"patrickhealy"
"debamlen";"alanrappeport"
"debamlen";"debamlen"
"patrickhealy";"andrewchow"
"mikeisaac";"michaelde la merced"
"debamlen";"maggiehaberman"
"andrewrevkin";"andreakannapell"
"michaelde la merced";"brooksbarnes"
"paulkrugman";"brooksbarnes"
"debamlen";"alanrappeport"
"paulkrugman";"andrewchow"
"debamlen";"paulkrugman"
"debamlen";"patrickhealy"
"jeremyegner";"andreakannapell"
"paulkrugman";"andreakannapell"
"debamlen";"andreakannapell"
"debamlen";"patrickhealy"
"paulkrugman";"mikeisaac"
"michaelde la merced";"andrewrevkin"
"debamlen";"andrewchow"
"paulkrugman";"paulkrugman"
"paulkrugman";"maggiehaberman"
"michaelde la merced";"debamlen"
"alanrappeport";"alanrappeport"
"debamlen";"jeremyegner"
"debamlen";"malinagilchrist"
"brooksbarnes";"brooksbarnes"
"brooksbarnes";"maggiehaberman"
"michaelde la merced";"jeremyegner"
"michaelde la merced";"malinagilchrist"
"debamlen";"andrewchow"
"brooksbarnes";"brooksbarnes"
"debamlen";"alanrappeport"
"jeremyegner";"jeremyegner"
"paulkrugman";"brooksbarnes"
"malinagilchrist";"alanrappeport"
"alanrappeport";"andreakannapell"
"andrewrevkin";"andrewrevkin"
"patrickhealy";"brooksbarnes"
"michaelcooper";"debamlen"
"debamlen";"michaelde la merced"
"alanrappeport";"brooksbarnes"
"michaelcooper";"patrickhealy"
"michaelde la merced";"paulkrugman"
"debamlen";"mikeisaac"
"michaelde la merced";"andrewchow"
"debamlen";"patrickhealy"
"michaelde la merced";"andrewrevkin"
"debamlen";"mikeisaac"
"debamlen";"michaelcooper"
"paulkrugman";"malinagilchrist"
"malinagilchrist";"maggiehaberman"
"mikeisaac";"andrewchow"
"debamlen";"debamlen"
"debamlen";"andreakannapell"
"michaelde la merced";"michaelde la merced"
"debamlen";"alanrappeport"
"mikeisaac";"paulkrugman"
"jeremyegner";"michaelde la merced"
"michaelcooper";"patrickhealy"
"alanrappeport";"michaelde la merced"
"michaelde la merced";"andreakannapell"
"paulkrugman";"michaelde la merced"
"patrickhealy";"patrickhealy"
"debamlen";"paulkrugman"
"alanrappeport";"alanrappeport"
"debamlen";"jeremyegner"
"michaelde la merced";"michaelde la merced"
"debamlen";"alanrappeport"
"paulkrugman";"michaelde la merced"
"michaelde la merced";"michaelcooper"
"debamlen";"malinagilchrist"
"alanrappeport";"malinagilchrist"
"paulkrugman";"andreakannapell"
